final_kluster	category	count	pattern
1s	unknown function	1969	seasonal
2s	unknown function	1534	seasonal
3s	unknown function	1163	seasonal
4s	unknown function	657	seasonal
5s	unknown function	1657	seasonal
6s	unknown function	1300	seasonal
1ns	unknown function	527	non_seasonal
7s	unknown function	608	seasonal
8s	unknown function	1287	seasonal
9s	unknown function	812	seasonal
10s	unknown function	426	seasonal
2ns	unknown function	115	non_seasonal
11s	unknown function	1095	seasonal
12s	unknown function	2401	seasonal
13s	unknown function	512	seasonal
14s	unknown function	803	seasonal
15s	unknown function	517	seasonal
16s	unknown function	514	seasonal
3ns	unknown function	162	non_seasonal
17s	unknown function	775	seasonal
18s	unknown function	839	seasonal
19s	unknown function	404	seasonal
20s	unknown function	391	seasonal
21s	unknown function	1081	seasonal
22s	unknown function	519	seasonal
23s	unknown function	1511	seasonal
24s	unknown function	600	seasonal
4ns	unknown function	221	non_seasonal
25s	unknown function	867	seasonal
26s	unknown function	842	seasonal
5ns	unknown function	778	non_seasonal
6ns	unknown function	497	non_seasonal
7ns	unknown function	472	non_seasonal
27s	unknown function	903	seasonal
28s	unknown function	518	seasonal
8ns	unknown function	837	non_seasonal
29s	unknown function	993	seasonal
30s	unknown function	856	seasonal
31s	unknown function	919	seasonal
9ns	unknown function	358	non_seasonal
32s	unknown function	921	seasonal
33s	unknown function	530	seasonal
34s	unknown function	524	seasonal
35s	unknown function	1198	seasonal
36s	unknown function	893	seasonal
37s	unknown function	1463	seasonal
10ns	unknown function	826	non_seasonal
11ns	unknown function	593	non_seasonal
12ns	unknown function	597	non_seasonal
38s	unknown function	945	seasonal
39s	unknown function	1524	seasonal
13ns	unknown function	823	non_seasonal
40s	unknown function	250	seasonal
41s	unknown function	242	seasonal
42s	unknown function	565	seasonal
43s	unknown function	1304	seasonal
44s	unknown function	451	seasonal
45s	unknown function	409	seasonal
46s	unknown function	444	seasonal
14ns	unknown function	1297	non_seasonal
47s	unknown function	1088	seasonal
48s	unknown function	769	seasonal
49s	unknown function	804	seasonal
50s	unknown function	1118	seasonal
15ns	unknown function	435	non_seasonal
51s	unknown function	719	seasonal
52s	unknown function	1343	seasonal
53s	unknown function	1106	seasonal
54s	unknown function	1102	seasonal
55s	unknown function	933	seasonal
56s	unknown function	906	seasonal
57s	unknown function	385	seasonal
58s	unknown function	715	seasonal
59s	unknown function	851	seasonal
60s	unknown function	1442	seasonal
61s	unknown function	1016	seasonal
62s	unknown function	555	seasonal
16ns	unknown function	553	non_seasonal
63s	unknown function	1445	seasonal
64s	unknown function	624	seasonal
17ns	unknown function	188	non_seasonal
65s	unknown function	1613	seasonal
66s	unknown function	586	seasonal
18ns	unknown function	1245	non_seasonal
67s	unknown function	861	seasonal
68s	unknown function	1137	seasonal
69s	unknown function	1005	seasonal
70s	unknown function	1533	seasonal
19ns	unknown function	737	non_seasonal
20ns	unknown function	481	non_seasonal
71s	unknown function	958	seasonal
72s	unknown function	788	seasonal
73s	unknown function	1505	seasonal
21ns	unknown function	618	non_seasonal
22ns	unknown function	688	non_seasonal
74s	unknown function	593	seasonal
75s	unknown function	1268	seasonal
76s	unknown function	1744	seasonal
77s	unknown function	731	seasonal
78s	unknown function	628	seasonal
23ns	unknown function	313	non_seasonal
24ns	unknown function	229	non_seasonal
79s	unknown function	622	seasonal
80s	unknown function	869	seasonal
81s	unknown function	683	seasonal
25ns	unknown function	306	non_seasonal
82s	unknown function	1010	seasonal
83s	unknown function	1043	seasonal
84s	unknown function	1211	seasonal
26ns	unknown function	392	non_seasonal
85s	unknown function	1102	seasonal
27ns	unknown function	90	non_seasonal
28ns	unknown function	693	non_seasonal
86s	unknown function	1249	seasonal
87s	unknown function	491	seasonal
88s	unknown function	769	seasonal
89s	unknown function	662	seasonal
90s	unknown function	1438	seasonal
91s	unknown function	903	seasonal
92s	unknown function	1117	seasonal
93s	unknown function	279	seasonal
94s	unknown function	950	seasonal
95s	unknown function	697	seasonal
96s	unknown function	813	seasonal
29ns	unknown function	1105	non_seasonal
30ns	unknown function	1428	non_seasonal
97s	unknown function	772	seasonal
31ns	unknown function	449	non_seasonal
32ns	unknown function	280	non_seasonal
33ns	unknown function	569	non_seasonal
34ns	unknown function	264	non_seasonal
35ns	unknown function	408	non_seasonal
98s	unknown function	832	seasonal
36ns	unknown function	278	non_seasonal
99s	unknown function	1035	seasonal
37ns	unknown function	310	non_seasonal
38ns	unknown function	655	non_seasonal
100s	unknown function	737	seasonal
39ns	unknown function	433	non_seasonal
101s	unknown function	890	seasonal
40ns	unknown function	451	non_seasonal
41ns	unknown function	176	non_seasonal
102s	unknown function	1193	seasonal
42ns	unknown function	227	non_seasonal
103s	unknown function	1592	seasonal
104s	unknown function	1491	seasonal
105s	unknown function	814	seasonal
106s	unknown function	894	seasonal
107s	unknown function	327	seasonal
108s	unknown function	462	seasonal
43ns	unknown function	58	non_seasonal
44ns	unknown function	350	non_seasonal
45ns	unknown function	33	non_seasonal
46ns	unknown function	362	non_seasonal
1s	tail	59	seasonal
2s	tail	59	seasonal
3s	tail	32	seasonal
4s	tail	13	seasonal
5s	tail	77	seasonal
6s	tail	52	seasonal
1ns	tail	36	non_seasonal
7s	tail	9	seasonal
8s	tail	38	seasonal
9s	tail	30	seasonal
10s	tail	14	seasonal
2ns	tail	0	non_seasonal
11s	tail	20	seasonal
12s	tail	65	seasonal
13s	tail	20	seasonal
14s	tail	19	seasonal
15s	tail	29	seasonal
16s	tail	19	seasonal
3ns	tail	5	non_seasonal
17s	tail	11	seasonal
18s	tail	18	seasonal
19s	tail	9	seasonal
20s	tail	7	seasonal
21s	tail	22	seasonal
22s	tail	12	seasonal
23s	tail	41	seasonal
24s	tail	40	seasonal
4ns	tail	19	non_seasonal
25s	tail	12	seasonal
26s	tail	32	seasonal
5ns	tail	24	non_seasonal
6ns	tail	15	non_seasonal
7ns	tail	38	non_seasonal
27s	tail	26	seasonal
28s	tail	17	seasonal
8ns	tail	13	non_seasonal
29s	tail	30	seasonal
30s	tail	23	seasonal
31s	tail	25	seasonal
9ns	tail	5	non_seasonal
32s	tail	29	seasonal
33s	tail	18	seasonal
34s	tail	20	seasonal
35s	tail	26	seasonal
36s	tail	15	seasonal
37s	tail	46	seasonal
10ns	tail	29	non_seasonal
11ns	tail	46	non_seasonal
12ns	tail	40	non_seasonal
38s	tail	16	seasonal
39s	tail	79	seasonal
13ns	tail	19	non_seasonal
40s	tail	9	seasonal
41s	tail	6	seasonal
42s	tail	12	seasonal
43s	tail	36	seasonal
44s	tail	28	seasonal
45s	tail	13	seasonal
46s	tail	13	seasonal
14ns	tail	48	non_seasonal
47s	tail	40	seasonal
48s	tail	5	seasonal
49s	tail	26	seasonal
50s	tail	38	seasonal
15ns	tail	11	non_seasonal
51s	tail	17	seasonal
52s	tail	28	seasonal
53s	tail	33	seasonal
54s	tail	31	seasonal
55s	tail	11	seasonal
56s	tail	15	seasonal
57s	tail	20	seasonal
58s	tail	17	seasonal
59s	tail	16	seasonal
60s	tail	55	seasonal
61s	tail	28	seasonal
62s	tail	10	seasonal
16ns	tail	13	non_seasonal
63s	tail	39	seasonal
64s	tail	22	seasonal
17ns	tail	3	non_seasonal
65s	tail	44	seasonal
66s	tail	9	seasonal
18ns	tail	40	non_seasonal
67s	tail	18	seasonal
68s	tail	27	seasonal
69s	tail	35	seasonal
70s	tail	52	seasonal
19ns	tail	27	non_seasonal
20ns	tail	21	non_seasonal
71s	tail	34	seasonal
72s	tail	30	seasonal
73s	tail	34	seasonal
21ns	tail	40	non_seasonal
22ns	tail	53	non_seasonal
74s	tail	16	seasonal
75s	tail	39	seasonal
76s	tail	55	seasonal
77s	tail	34	seasonal
78s	tail	35	seasonal
23ns	tail	12	non_seasonal
24ns	tail	20	non_seasonal
79s	tail	19	seasonal
80s	tail	25	seasonal
81s	tail	20	seasonal
25ns	tail	21	non_seasonal
82s	tail	32	seasonal
83s	tail	35	seasonal
84s	tail	25	seasonal
26ns	tail	14	non_seasonal
85s	tail	39	seasonal
27ns	tail	0	non_seasonal
28ns	tail	17	non_seasonal
86s	tail	32	seasonal
87s	tail	5	seasonal
88s	tail	29	seasonal
89s	tail	13	seasonal
90s	tail	35	seasonal
91s	tail	19	seasonal
92s	tail	23	seasonal
93s	tail	7	seasonal
94s	tail	36	seasonal
95s	tail	12	seasonal
96s	tail	13	seasonal
29ns	tail	57	non_seasonal
30ns	tail	41	non_seasonal
97s	tail	24	seasonal
31ns	tail	22	non_seasonal
32ns	tail	7	non_seasonal
33ns	tail	12	non_seasonal
34ns	tail	5	non_seasonal
35ns	tail	20	non_seasonal
98s	tail	48	seasonal
36ns	tail	22	non_seasonal
99s	tail	29	seasonal
37ns	tail	10	non_seasonal
38ns	tail	22	non_seasonal
100s	tail	29	seasonal
39ns	tail	32	non_seasonal
101s	tail	16	seasonal
40ns	tail	6	non_seasonal
41ns	tail	11	non_seasonal
102s	tail	37	seasonal
42ns	tail	7	non_seasonal
103s	tail	38	seasonal
104s	tail	26	seasonal
105s	tail	54	seasonal
106s	tail	39	seasonal
107s	tail	3	seasonal
108s	tail	12	seasonal
43ns	tail	0	non_seasonal
44ns	tail	39	non_seasonal
45ns	tail	0	non_seasonal
46ns	tail	4	non_seasonal
1s	head and packaging	107	seasonal
2s	head and packaging	82	seasonal
3s	head and packaging	53	seasonal
4s	head and packaging	33	seasonal
5s	head and packaging	106	seasonal
6s	head and packaging	75	seasonal
1ns	head and packaging	37	non_seasonal
7s	head and packaging	25	seasonal
8s	head and packaging	71	seasonal
9s	head and packaging	45	seasonal
10s	head and packaging	26	seasonal
2ns	head and packaging	11	non_seasonal
11s	head and packaging	82	seasonal
12s	head and packaging	116	seasonal
13s	head and packaging	34	seasonal
14s	head and packaging	55	seasonal
15s	head and packaging	35	seasonal
16s	head and packaging	30	seasonal
3ns	head and packaging	8	non_seasonal
17s	head and packaging	37	seasonal
18s	head and packaging	20	seasonal
19s	head and packaging	20	seasonal
20s	head and packaging	18	seasonal
21s	head and packaging	57	seasonal
22s	head and packaging	47	seasonal
23s	head and packaging	73	seasonal
24s	head and packaging	40	seasonal
4ns	head and packaging	18	non_seasonal
25s	head and packaging	62	seasonal
26s	head and packaging	51	seasonal
5ns	head and packaging	55	non_seasonal
6ns	head and packaging	28	non_seasonal
7ns	head and packaging	45	non_seasonal
27s	head and packaging	49	seasonal
28s	head and packaging	47	seasonal
8ns	head and packaging	33	non_seasonal
29s	head and packaging	52	seasonal
30s	head and packaging	60	seasonal
31s	head and packaging	47	seasonal
9ns	head and packaging	19	non_seasonal
32s	head and packaging	49	seasonal
33s	head and packaging	45	seasonal
34s	head and packaging	35	seasonal
35s	head and packaging	79	seasonal
36s	head and packaging	45	seasonal
37s	head and packaging	70	seasonal
10ns	head and packaging	25	non_seasonal
11ns	head and packaging	46	non_seasonal
12ns	head and packaging	51	non_seasonal
38s	head and packaging	58	seasonal
39s	head and packaging	101	seasonal
13ns	head and packaging	37	non_seasonal
40s	head and packaging	14	seasonal
41s	head and packaging	26	seasonal
42s	head and packaging	27	seasonal
43s	head and packaging	76	seasonal
44s	head and packaging	53	seasonal
45s	head and packaging	41	seasonal
46s	head and packaging	21	seasonal
14ns	head and packaging	86	non_seasonal
47s	head and packaging	57	seasonal
48s	head and packaging	45	seasonal
49s	head and packaging	43	seasonal
50s	head and packaging	91	seasonal
15ns	head and packaging	19	non_seasonal
51s	head and packaging	39	seasonal
52s	head and packaging	63	seasonal
53s	head and packaging	68	seasonal
54s	head and packaging	44	seasonal
55s	head and packaging	37	seasonal
56s	head and packaging	41	seasonal
57s	head and packaging	19	seasonal
58s	head and packaging	61	seasonal
59s	head and packaging	36	seasonal
60s	head and packaging	83	seasonal
61s	head and packaging	57	seasonal
62s	head and packaging	32	seasonal
16ns	head and packaging	19	non_seasonal
63s	head and packaging	68	seasonal
64s	head and packaging	46	seasonal
17ns	head and packaging	5	non_seasonal
65s	head and packaging	89	seasonal
66s	head and packaging	34	seasonal
18ns	head and packaging	76	non_seasonal
67s	head and packaging	51	seasonal
68s	head and packaging	45	seasonal
69s	head and packaging	82	seasonal
70s	head and packaging	105	seasonal
19ns	head and packaging	39	non_seasonal
20ns	head and packaging	45	non_seasonal
71s	head and packaging	53	seasonal
72s	head and packaging	75	seasonal
73s	head and packaging	113	seasonal
21ns	head and packaging	44	non_seasonal
22ns	head and packaging	91	non_seasonal
74s	head and packaging	50	seasonal
75s	head and packaging	75	seasonal
76s	head and packaging	132	seasonal
77s	head and packaging	38	seasonal
78s	head and packaging	54	seasonal
23ns	head and packaging	20	non_seasonal
24ns	head and packaging	8	non_seasonal
79s	head and packaging	45	seasonal
80s	head and packaging	43	seasonal
81s	head and packaging	37	seasonal
25ns	head and packaging	33	non_seasonal
82s	head and packaging	59	seasonal
83s	head and packaging	82	seasonal
84s	head and packaging	75	seasonal
26ns	head and packaging	45	non_seasonal
85s	head and packaging	48	seasonal
27ns	head and packaging	8	non_seasonal
28ns	head and packaging	42	non_seasonal
86s	head and packaging	49	seasonal
87s	head and packaging	16	seasonal
88s	head and packaging	37	seasonal
89s	head and packaging	28	seasonal
90s	head and packaging	78	seasonal
91s	head and packaging	49	seasonal
92s	head and packaging	54	seasonal
93s	head and packaging	17	seasonal
94s	head and packaging	73	seasonal
95s	head and packaging	46	seasonal
96s	head and packaging	20	seasonal
29ns	head and packaging	77	non_seasonal
30ns	head and packaging	87	non_seasonal
97s	head and packaging	32	seasonal
31ns	head and packaging	43	non_seasonal
32ns	head and packaging	24	non_seasonal
33ns	head and packaging	37	non_seasonal
34ns	head and packaging	26	non_seasonal
35ns	head and packaging	17	non_seasonal
98s	head and packaging	77	seasonal
36ns	head and packaging	25	non_seasonal
99s	head and packaging	38	seasonal
37ns	head and packaging	35	non_seasonal
38ns	head and packaging	43	non_seasonal
100s	head and packaging	44	seasonal
39ns	head and packaging	47	non_seasonal
101s	head and packaging	49	seasonal
40ns	head and packaging	25	non_seasonal
41ns	head and packaging	9	non_seasonal
102s	head and packaging	78	seasonal
42ns	head and packaging	15	non_seasonal
103s	head and packaging	65	seasonal
104s	head and packaging	72	seasonal
105s	head and packaging	55	seasonal
106s	head and packaging	55	seasonal
107s	head and packaging	9	seasonal
108s	head and packaging	31	seasonal
43ns	head and packaging	3	non_seasonal
44ns	head and packaging	28	non_seasonal
45ns	head and packaging	6	non_seasonal
46ns	head and packaging	27	non_seasonal
1s	DNA. RNA and nucleotide metabolism	142	seasonal
2s	DNA. RNA and nucleotide metabolism	113	seasonal
3s	DNA. RNA and nucleotide metabolism	73	seasonal
4s	DNA. RNA and nucleotide metabolism	43	seasonal
5s	DNA. RNA and nucleotide metabolism	118	seasonal
6s	DNA. RNA and nucleotide metabolism	82	seasonal
1ns	DNA. RNA and nucleotide metabolism	72	non_seasonal
7s	DNA. RNA and nucleotide metabolism	40	seasonal
8s	DNA. RNA and nucleotide metabolism	106	seasonal
9s	DNA. RNA and nucleotide metabolism	62	seasonal
10s	DNA. RNA and nucleotide metabolism	30	seasonal
2ns	DNA. RNA and nucleotide metabolism	5	non_seasonal
11s	DNA. RNA and nucleotide metabolism	66	seasonal
12s	DNA. RNA and nucleotide metabolism	175	seasonal
13s	DNA. RNA and nucleotide metabolism	19	seasonal
14s	DNA. RNA and nucleotide metabolism	49	seasonal
15s	DNA. RNA and nucleotide metabolism	56	seasonal
16s	DNA. RNA and nucleotide metabolism	33	seasonal
3ns	DNA. RNA and nucleotide metabolism	14	non_seasonal
17s	DNA. RNA and nucleotide metabolism	44	seasonal
18s	DNA. RNA and nucleotide metabolism	57	seasonal
19s	DNA. RNA and nucleotide metabolism	41	seasonal
20s	DNA. RNA and nucleotide metabolism	21	seasonal
21s	DNA. RNA and nucleotide metabolism	65	seasonal
22s	DNA. RNA and nucleotide metabolism	30	seasonal
23s	DNA. RNA and nucleotide metabolism	106	seasonal
24s	DNA. RNA and nucleotide metabolism	26	seasonal
4ns	DNA. RNA and nucleotide metabolism	11	non_seasonal
25s	DNA. RNA and nucleotide metabolism	71	seasonal
26s	DNA. RNA and nucleotide metabolism	61	seasonal
5ns	DNA. RNA and nucleotide metabolism	67	non_seasonal
6ns	DNA. RNA and nucleotide metabolism	20	non_seasonal
7ns	DNA. RNA and nucleotide metabolism	35	non_seasonal
27s	DNA. RNA and nucleotide metabolism	67	seasonal
28s	DNA. RNA and nucleotide metabolism	60	seasonal
8ns	DNA. RNA and nucleotide metabolism	48	non_seasonal
29s	DNA. RNA and nucleotide metabolism	62	seasonal
30s	DNA. RNA and nucleotide metabolism	62	seasonal
31s	DNA. RNA and nucleotide metabolism	65	seasonal
9ns	DNA. RNA and nucleotide metabolism	30	non_seasonal
32s	DNA. RNA and nucleotide metabolism	80	seasonal
33s	DNA. RNA and nucleotide metabolism	22	seasonal
34s	DNA. RNA and nucleotide metabolism	34	seasonal
35s	DNA. RNA and nucleotide metabolism	77	seasonal
36s	DNA. RNA and nucleotide metabolism	44	seasonal
37s	DNA. RNA and nucleotide metabolism	107	seasonal
10ns	DNA. RNA and nucleotide metabolism	56	non_seasonal
11ns	DNA. RNA and nucleotide metabolism	45	non_seasonal
12ns	DNA. RNA and nucleotide metabolism	61	non_seasonal
38s	DNA. RNA and nucleotide metabolism	64	seasonal
39s	DNA. RNA and nucleotide metabolism	108	seasonal
13ns	DNA. RNA and nucleotide metabolism	63	non_seasonal
40s	DNA. RNA and nucleotide metabolism	16	seasonal
41s	DNA. RNA and nucleotide metabolism	22	seasonal
42s	DNA. RNA and nucleotide metabolism	29	seasonal
43s	DNA. RNA and nucleotide metabolism	107	seasonal
44s	DNA. RNA and nucleotide metabolism	36	seasonal
45s	DNA. RNA and nucleotide metabolism	13	seasonal
46s	DNA. RNA and nucleotide metabolism	28	seasonal
14ns	DNA. RNA and nucleotide metabolism	91	non_seasonal
47s	DNA. RNA and nucleotide metabolism	76	seasonal
48s	DNA. RNA and nucleotide metabolism	67	seasonal
49s	DNA. RNA and nucleotide metabolism	70	seasonal
50s	DNA. RNA and nucleotide metabolism	67	seasonal
15ns	DNA. RNA and nucleotide metabolism	32	non_seasonal
51s	DNA. RNA and nucleotide metabolism	44	seasonal
52s	DNA. RNA and nucleotide metabolism	100	seasonal
53s	DNA. RNA and nucleotide metabolism	95	seasonal
54s	DNA. RNA and nucleotide metabolism	62	seasonal
55s	DNA. RNA and nucleotide metabolism	48	seasonal
56s	DNA. RNA and nucleotide metabolism	69	seasonal
57s	DNA. RNA and nucleotide metabolism	19	seasonal
58s	DNA. RNA and nucleotide metabolism	54	seasonal
59s	DNA. RNA and nucleotide metabolism	55	seasonal
60s	DNA. RNA and nucleotide metabolism	127	seasonal
61s	DNA. RNA and nucleotide metabolism	61	seasonal
62s	DNA. RNA and nucleotide metabolism	41	seasonal
16ns	DNA. RNA and nucleotide metabolism	46	non_seasonal
63s	DNA. RNA and nucleotide metabolism	80	seasonal
64s	DNA. RNA and nucleotide metabolism	47	seasonal
17ns	DNA. RNA and nucleotide metabolism	6	non_seasonal
65s	DNA. RNA and nucleotide metabolism	132	seasonal
66s	DNA. RNA and nucleotide metabolism	25	seasonal
18ns	DNA. RNA and nucleotide metabolism	105	non_seasonal
